TimeWindow  Iteration  ResRel(Temperature)  
1  1  1.0000000000000000  
1  2  0.0000000022858397  
2  1  0.0000005471422542  
3  1  0.0000003357368029  
4  1  0.0000005004770093  
5  1  0.0000003188763663  
6  1  0.0000001804953920  
7  1  0.0000001761454081  
8  1  0.0000002352068089  
9  1  0.0000002871483990  
10  1  0.0000003128498128  
11  1  0.0000003242377566  
12  1  0.0000003349478742  
13  1  0.0000003493369346  
14  1  0.0000003656491349  
15  1  0.0000003814434865  
16  1  0.0000003958960606  
17  1  0.0000004093364435  
18  1  0.0000004222960064  
19  1  0.0000004349981579  
20  1  0.0000004474354335  
21  1  0.0000004595511845  
22  1  0.0000004713329415  
23  1  0.0000004828084717  
24  1  0.0000004940136946  
25  1  0.0000005049741466  
26  1  0.0000005157051138  
27  1  0.0000005262180557  
28  1  0.0000005365242701  
29  1  0.0000005466352735  
30  1  0.0000005565621940  
31  1  0.0000005663148829  
32  1  0.0000005759021256  
33  1  0.0000005853318293  
34  1  0.0000005946113281  
35  1  0.0000006037473233  
36  1  0.0000006127461162  
37  1  0.0000006216133691  
38  1  0.0000006303544430  
39  1  0.0000006389743801  
40  1  0.0000006474775557  
41  1  0.0000006558683055  
42  1  0.0000006641505351  
43  1  0.0000006723279005  
44  1  0.0000006804038929  
45  1  0.0000006883816995  
46  1  0.0000006962642049  
47  1  0.0000007040542127  
48  1  0.0000007117542887  
49  1  0.0000007193669724  
50  1  0.0000007268944620  
51  1  0.0000007343389294  
52  1  0.0000007417023281  
53  1  0.0000007489865559  
54  1  0.0000007561933440  
55  1  0.0000007633244181  
56  1  0.0000007703812685  
57  1  0.0000007773654527  
58  1  0.0000007842782354  
59  1  0.0000007911209355  
60  1  0.0000007978948140  
61  1  0.0000008046011081  
62  1  0.0000008112407693  
63  1  0.0000008178148815  
64  1  0.0000008243244719  
65  1  0.0000008307704063  
66  1  0.0000008371536084  
67  1  0.0000008434748608  
68  1  0.0000008497349749  
69  1  0.0000008559347549  
70  1  0.0000008620748737  
71  1  0.0000008681560081  
72  1  0.0000008741788310  
73  1  0.0000008801439809  
74  1  0.0000008860519795  
75  1  0.0000008919035186  
76  1  0.0000008976990772  
77  1  0.0000009034391729  
78  1  0.0000009091242915  
79  1  0.0000009147549757  
80  1  0.0000009203317059  
81  1  0.0000009258549384  
82  1  0.0000009313250866  
83  1  0.0000009367425936  
84  1  0.0000009421077863  
85  1  0.0000009474211297  
86  1  0.0000009526831246  
87  1  0.0000009578940080  
88  1  0.0000009630541935  
89  1  0.0000009681640588  
90  1  0.0000009732239394  
91  1  0.0000009782342358  
92  1  0.0000009831951979  
93  1  0.0000009881072156  
94  1  0.0000009929706333  
95  1  0.0000009977592407  
96  1  0.0000010025317481  
96  2  0.0000000000000000  
97  1  0.0000000047098011  
98  1  0.0000000093764839  
99  1  0.0000000139995720  
100  1  0.0000000185786058  
